CODEREG,NOM_REGION,CODEDIST,NOM_DISTRI,CODECOM,NOM_COMMUN,ETAT_COMMU,SOURCE,HECTARES,MIS_A_JOUR
"13",ITASY,"1303",SOAVINANDRIANA,"130302",Amberomanga Atsinanana,,,8319.044,"2000"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110205",Andramasina,,terrain,1889.024,"2005"
"13",ITASY,"1303",SOAVINANDRIANA,"130315",Antamponala,,,35325.361,"2000"
"13",ITASY,"1303",SOAVINANDRIANA,"130304",Amparibohitra,nouvelle,commune,3254.323,"2006"
"14",VAKINANKARATRA,"1406",FARATSIHO,"140604",Faratsiho,,terrain,33001.068,"2002"
"13",ITASY,"1301",ARIVONIMAMO,"130117",Manalalondo,,terrain,7685.573,"2002"
"14",VAKINANKARATRA,"1406",FARATSIHO,"140606",Ramainandro,,terrain,20444.001,"2005"
"13",ITASY,"1303",SOAVINANDRIANA,"130313",Masindray,,,5432.781,"2000"
"13",ITASY,"1303",SOAVINANDRIANA,"130303",Amparaky,,,16443.627,"2000"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140107",Andriambilany,,,5394.317,"2000"
"13",ITASY,"1301",ARIVONIMAMO,"130116",Mahatsinjo-Est,,,5402.790,"2000"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110202",Alatsinainy Bakaro,,terrain,12926.858,"2002"
"14",VAKINANKARATRA,"1406",FARATSIHO,"140607",Ambatoasana Valabetokana,,terrain,12939.394,"2002"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140113",Belambo Firaisana,,commune,8993.415,"2004"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140114",Manjakatompo,,,4932.698,"2000"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140116",Sabotsy-Namatoana,,terrain,9409.587,"2002"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110212",Tankafatra,,commune,25012.823,"2004"
"13",ITASY,"1301",ARIVONIMAMO,"130110",Andranomiely,,,6948.333,"2000"
"13",ITASY,"1301",ARIVONIMAMO,"130118",Marofangady,,,4157.198,"2000"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110207",Antotohazo,nouvelle,commune,6646.813,"2006"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110204",Andohariana,,,4217.940,"2000"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140117",Tsiafajavona Ankaratra,,terrain,14049.551,"2002"
"14",VAKINANKARATRA,"1406",FARATSIHO,"140605",Miandrarivo,,,46633.535,"2000"
"14",VAKINANKARATRA,"1406",FARATSIHO,"140601",Ambatofotsy Ambohiborona,,terrain,16754.960,"2002"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110208",Fitsinjovana Bakaro,,commune,26378.682,"2004"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140110",Antanimasaka Tsaramiafara,,,3911.240,"2000"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140101",Ambatolampy,,terrain,2812.232,"2002"
"14",VAKINANKARATRA,"1405",MANDOTO,"140516",Betsohana,nouvelle,commune,22193.343,"2006"
"14",VAKINANKARATRA,"1406",FARATSIHO,"140603",Antsampanimahazo,,commune,10136.525,"2005"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140106",Andravola,,,1969.763,"2000"
"14",VAKINANKARATRA,"1405",MANDOTO,"140517",Fidirana,,terrain,29482.317,"2002"
"14",VAKINANKARATRA,"1405",MANDOTO,"140526",Vinany,nouvelle,commune,16430.948,"2006"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140109",Alarobia-Antanamalaza,,commune,6552.041,"2004"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140115",Morarano,,terrain,4078.260,"2002"
"14",VAKINANKARATRA,"1405",MANDOTO,"140512",Tanambao_Ambary,nouvelle,commune,26067.823,"2006"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140104",Ambohipihaonana,,,7108.666,"2000"
"14",VAKINANKARATRA,"1402",ANTANIFOTSY,"140203",Ambatotsipihina,,terrain,23154.799,"2002"
